member_casual,start_station_name,total_rides
member,"Michigan Ave & 18th St",4945
casual,"Clark St & Schiller St",4938
casual,"Halsted St & Clybourn Ave",4934
member,"State St & Van Buren St",4924
member,"Jefferson St & Monroe St",4922
member,"Franklin St & Adams St ",4901
casual,"University Ave & 57th St",4899
casual,"Halsted St & Roscoe St",4879
casual,"Canal St & Adams St",4863
member,"Eckhart Park",4857
casual,"Southport Ave & Roscoe St",4852
member,"Sheridan Rd & Argyle St",4848
member,"Lake Park Ave & 56th St",4845
casual,"Halsted St & Wrightwood Ave",4835
member,"Clinton St & Tilden St",4827
member,"Larrabee St & Armitage Ave",4819
casual,"Wabash Ave & 9th St",4818
member,"Clarendon Ave & Leland Ave",4807
member,"MLK Jr Dr & 29th St",4806
member,"Clark St & Montrose Ave",4765
member,"Southport Ave & Irving Park Rd",4764
member,"Wood St & Augusta Blvd",4753
member,"Michigan Ave & Madison St",4747
member,"Fairbanks St & Superior St",4744
member,"Calumet Ave & 18th St",4740
casual,"State St & Kinzie St",4739
casual,"Kingsbury St & Erie St",4728
casual,"Federal St & Polk St",4727
member,"Wood St & Taylor St (Temp)",4709
casual,"Halsted St & Fulton St",4676
member,"Burnham Harbor",4636
casual,"Rush St & Cedar St",4630
member,"Ashland Ave & Augusta Blvd",4605
casual,"Milwaukee Ave & Grand Ave",4595
casual,"Dearborn St & Monroe St",4584
casual,"Clark St & Grace St",4568
member,"Lake Park Ave & 53rd St",4542
casual,"Lincoln Ave & Fullerton Ave",4527
member,"Damen Ave & Leland Ave",4497
casual,"Damen Ave & Pierce Ave",4466
member,"Ellis Ave & 53rd St",4456
casual,"Rush St & Superior St",4455
casual,"Sheridan Rd & Irving Park Rd",4454
member,"State St & 33rd St",4449
member,"Halsted St & Roosevelt Rd",4448
casual,"Michigan Ave & Pearson St",4423
member,"State St & Harrison St",4408
member,"Green St & Washington Blvd",4407
member,"Hermitage Ave & Polk St",4390
member,"Cornell Ave & Hyde Park Blvd",4388
casual,"Franklin St & Illinois St",4387
member,"Paulina Ave & North Ave",4378
casual,"Larrabee St & Kingsbury St",4354
casual,"Burnham Harbor",4352
casual,"Broadway & Belmont Ave",4338
casual,"Shore Dr & 55th St",4335
casual,"Clinton St & Lake St",4329
casual,"Stockton Dr & Wrightwood Ave",4327
casual,"Wells St & Walton St",4323
member,"Michigan Ave & Pearson St",4311
member,"Campbell Ave & North Ave",4310
casual,"Clark St & Winnemac Ave",4297
member,"Broadway & Granville Ave",4277
member,"Broadway & Argyle St",4261
member,"Broadway & Thorndale Ave",4260
casual,"McClurg Ct & Erie St",4228
casual,"Clark St & North Ave",4226
member,"Dearborn St & Van Buren St",4214
casual,"Clark St & Wellington Ave",4204
casual,"Michigan Ave & Ida B Wells Dr",4203
member,"Racine Ave & Congress Pkwy",4187
member,"Ashland Ave & Wellington Ave",4173
casual,"Aberdeen St & Jackson Blvd",4161
casual,"Southport Ave & Wellington Ave",4154
casual,"Ravenswood Ave & Lawrence Ave",4152
member,"Marine Dr & Ainslie St",4148
casual,"Clark St & Drummond Pl",4146
